.Test sequence (s)	Network Dependency	Re-lease	Rel-13 ME	Description	
27.22.4.11.4/6a	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – bold on		Extra
27.22.4.11.4/6b	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – bold on		Extra
27.22.4.11.4/7	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – italic on	
27.22.4.11.4/7a	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – italic on		Extra
27.22.4.11.4/7b	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – italic on		Extra
27.22.4.11.4/8	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – underline on	
27.22.4.11.4/8a	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – underline on		Extra
27.22.4.11.4/8b	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – underline on		Extra
27.22.4.11.4/9	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – strikethrough on	
27.22.4.11.4/9a	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – strikethrough on		Extra
27.22.4.11.4/9b	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C166 AND C174 AND C183 AND C204	Text attribute – strikethrough on		Extra
27.22.4.11.4/10	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C166 AND C174 AND C183 AND C204	Text attribute – foreground and background colours	
27.22.4.11.4/10a	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C166 AND C174 AND C183 AND C204	Text attribute – foreground and background colours		Extra
27.22.4.11.4/10b	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C166 AND C174 AND C183 AND C204	Text attribute – foreground and background colours		Extra
27.22.4.11.5/1	UMTS System Simulator or System Simulator only	R99	C143 AND C166 AND C174 AND C183 AND C204	UCS2 display in Chinese	
27.22.4.11.5/1a	UMTS System Simulator or System Simulator only	R99	C143 AND C166 AND C174 AND C183 AND C204	UCS2 display in Chinese		Extra
27.22.4.11.5/1b	UMTS System Simulator or System Simulator only	R99	C143 AND C166 AND C174 AND C183 AND C204	UCS2 display in Chinese		Extra
27.22.4.11.6/1	UMTS System Simulator or System Simulator only	R99	C145 AND C166 AND C174 AND C183 AND C204	UCS2 display in Katakana	
27.22.4.11.6/1a	UMTS System Simulator or System Simulator only	R99	C145 AND C166 AND C174 AND C183 AND C204	UCS2 display in Katakana		Extra
27.22.4.11.6/1b	UMTS System Simulator or System Simulator only	R99	C145 AND C166 AND C174 AND C183 AND C204	UCS2 display in Katakana		Extra
27.22.4.12				SEND USSD 27.22.4.12	
27.22.4.12.1/1	UMTS System Simulator or System Simulator only	R99	C183 AND C204	7-bit data, successful	
27.22.4.12.1/2	UMTS System Simulator or System Simulator only	R99	C183 AND C204	8-bit data, successful	
27.22.4.12.1/3	UMTS System Simulator or System Simulator only	R99	C183 AND C204	UCS2 data, successful	
27.22.4.12.1/4	UMTS System Simulator or System Simulator only	R99	C183 AND C204	7-bit data, unsuccessful	
27.22.4.12.1/5	UMTS System Simulator or System Simulator only	R99	C183 AND C204	7-bit data, unsuccessful	
27.22.4.12.1/6	UMTS System Simulator or System Simulator only	R99	C183 AND C204	256 octets, 7-bit data, successful, long alpha identifier	
27.22.4.12.1/7	UMTS System Simulator or System Simulator only	R99	C183 AND C204	7-bit data, successful, no alpha identifier	
27.22.4.12.1/8	UMTS System Simulator or System Simulator only	R99	C183 AND C204	7-bit data, successful, null length alpha identifier	
27.22.4.12.2/1	UMTS System Simulator or System Simulator only	R99	C108 AND C183 AND C204	Icons  – basic icon	
27.22.4.12.2/3	UMTS System Simulator or System Simulator only	R99	C108 AND C183 AND C204	Icons  – basic icon	
27.22.4.12.2/2	UMTS System Simulator or System Simulator only	R99	C186 AND C183 AND C204	Icons  – colour icon	
27.22.4.12.2/4	UMTS System Simulator or System Simulator only	R99	C187 AND C183 AND C204	7-bit data, basic icon non self-explanatory, no alpha identifier presented	
27.22.4.12.3/1	UMTS System Simulator or System Simulator only	R99	C118 AND C183 AND C204	UCS2 in Cyrillic	
27.22.4.12.4/1	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C183 AND C204	Text attribute – left alignment	
27.22.4.12.4/2	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C183 AND C204	Text attribute – center alignment	
27.22.4.12.4/3	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C183 AND C204	Text attribute – right alignment	
27.22.4.12.4/4	UMTS System Simulator or System Simulator only	Rel-5	C157 AND C156 AND C183 AND C204	Text attribute – large font size	
27.22.4.12.4/5	UMTS System Simulator or System Simulator only	Rel-5	C158 AND C156 AND C183 AND C204	Text attribute – small font size	
27.22.4.12.4/6	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C183 AND C204	Text attribute – bold on	
27.22.4.12.4/7	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C183 AND C204	Text attribute – italic on	
27.22.4.12.4/8	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C183 AND C204	Text attribute – underline on	
27.22.4.12.4/9	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C183 AND C204	Text attribute – strikethrough on	
27.22.4.12.4/10	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C183 AND C204	Text attribute – foreground and background colours	
27.22.4.12.5/1	UMTS System Simulator or System Simulator only	R99	C143 AND C183 AND C204	UCS2 in Chinese	
27.22.4.12.6/1	UMTS System Simulator or System Simulator only	R99	C145 AND C183 AND C204	UCS2 in Katakana	
27.22.4.13				SET UP CALL 27.22.4.13	
27.22.4.13.1/1	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	Call confirmed by the user and connected 	
27.22.4.13.1/1a	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	Call confirmed by the user and connected 		Extra
27.22.4.13.1/1b	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	Call confirmed by the user and connected 		Extra
27.22.4.13.1/2	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	call rejected by the user	
27.22.4.13.1/2a	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	call rejected by the user		Extra
27.22.4.13.1/2b	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	call rejected by the user		Extra
27.22.4.13				void	
27.22.4.13.1/4	UMTS System Simulator or System Simulator only	R99	C170 AND C177 AND C178 AND C180 AND C183	putting all other calls on hold, ME busy	
27.22.4.13.1/4a	UMTS System Simulator or System Simulator only	R99	C170 AND C177 AND C178 AND C180 AND C183	putting all other calls on hold, ME busy		Extra
27.22.4.13.1/4b	UMTS System Simulator or System Simulator only	R99	C170 AND C177 AND C178 AND C180 AND C183	putting all other calls on hold, ME busy		Extra
27.22.4.13.1/5	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	disconnecting all other calls, ME busy	
27.22.4.13.1/5a	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	disconnecting all other calls, ME busy		Extra
27.22.4.13.1/5b	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	disconnecting all other calls, ME busy		Extra
27.22.4.13.1/6	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	only if not currently busy on another call, ME busy	
27.22.4.13.1/6a	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	only if not currently busy on another call, ME busy		Extra
27.22.4.13.1/6b	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	only if not currently busy on another call, ME busy		Extra
27.22.4.13.1/7	UMTS System Simulator or System Simulator only	R99	C170 AND C177 AND C178 AND C180 AND C183	putting all other calls on hold, call hold is not allowed	
27.22.4.13.1/7a	UMTS System Simulator or System Simulator only	R99	C170 AND C177 AND C178 AND C180 AND C183	putting all other calls on hold, call hold is not allowed		Extra
27.22.4.13.1/7b	UMTS System Simulator or System Simulator only	R99	C170 AND C177 AND C178 AND C180 AND C183	putting all other calls on hold, call hold is not allowed		Extra
27.22.4.13.1/8	UMTS System Simulator or System Simulator only	R99	C101 AND C177 AND C178 AND C180 AND C183	Capability configuration	
27.22.4.13.1/8a	UMTS System Simulator or System Simulator only	R99	C101 AND C177 AND C178 AND C180 AND C183	Capability configuration		Extra
27.22.4.13.1/8b	UMTS System Simulator or System Simulator only	R99	C101 AND C177 AND C178 AND C180 AND C183	Capability configuration		Extra
27.22.4.13.1/9	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	long dialling number string	
27.22.4.13.1/9a	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	long dialling number string		Extra
27.22.4.13.1/9b	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	long dialling number string		Extra
27.22.4.13.1/10	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	long first alpha identifier	
27.22.4.13.1/10a	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	long first alpha identifier		Extra
27.22.4.13.1/10b	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	long first alpha identifier		Extra
27.22.4.13.1/11	UMTS System Simulator or System Simulator only	R99	C124 AND C177 AND C178 AND C180 AND C183	Called party subaddress	
27.22.4.13.1/11a	UMTS System Simulator or System Simulator only	R99	C124 AND C177 AND C178 AND C180 AND C183	Called party subaddress		Extra
27.22.4.13.1/11b	UMTS System Simulator or System Simulator only	R99	C124 AND C177 AND C178 AND C180 AND C183	Called party subaddress		Extra
27.22.4.13.1/12	UMTS System Simulator or System Simulator only	R99	C119 AND C177 AND C178 AND C180 AND C183	maximum duration for the redial mechanism	
27.22.4.13.1/12a	UMTS System Simulator or System Simulator only	R99	C119 AND C177 AND C178 AND C180 AND C183	maximum duration for the redial mechanism		Extra
27.22.4.13.1/12b	UMTS System Simulator or System Simulator only	R99	C119 AND C177 AND C178 AND C180 AND C183	maximum duration for the redial mechanism		Extra
27.22.4.13.2/1	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	second alpha identifier	
27.22.4.13.2/1a	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	second alpha identifier		Extra
27.22.4.13.2/1b	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	second alpha identifier		Extra
27.22.4.13.3/1	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon	
27.22.4.13.3/1a	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon		Extra
27.22.4.13.3/1b	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon		Extra
27.22.4.13.3/2	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon	
27.22.4.13.3/2a	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon		Extra
27.22.4.13.3/2b	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon		Extra
27.22.4.13.3/4	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon	
27.22.4.13.3/4a	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon		Extra
27.22.4.13.3/4b	UMTS System Simulator or System Simulator only	R99	C108 AND C177 AND C178 AND C180 AND C183	Icons – basic icon		Extra
27.22.4.13.3/3	UMTS System Simulator or System Simulator only	R99	C171 AND C177 AND C178 AND C180 AND C183	Icons – colour icon	
27.22.4.13.3/3a	UMTS System Simulator or System Simulator only	R99	C171 AND C177 AND C178 AND C180 AND C183	Icons – colour icon		Extra
27.22.4.13.3/3b	UMTS System Simulator or System Simulator only	R99	C171 AND C177 AND C178 AND C180 AND C183	Icons – colour icon		Extra
27.22.4.13.4/1	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C177 AND C178 AND C180 AND C183	Text attribute – left alignment	
27.22.4.13.4/1a	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C177 AND C178 AND C180 AND C183	Text attribute – left alignment		Extra
27.22.4.13.4/1b	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C177 AND C178 AND C180 AND C183	Text attribute – left alignment		Extra
27.22.4.13.4/2	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C177 AND C178 AND C180 AND C183	Text attribute – center alignment	
27.22.4.13.4/2a	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C177 AND C178 AND C180 AND C183	Text attribute – center alignment		Extra
27.22.4.13.4/2b	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C177 AND C178 AND C180 AND C183	Text attribute – center alignment		Extra
27.22.4.13.4/3	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C177 AND C178 AND C180 AND C183	Text attribute – right alignment	
27.22.4.13.4/3a	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C177 AND C178 AND C180 AND C183	Text attribute – right alignment		Extra
27.22.4.13.4/3b	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C177 AND C178 AND C180 AND C183	Text attribute – right alignment		Extra
27.22.4.13.4/4	UMTS System Simulator or System Simulator only	Rel-5	C157AND C156 AND C177 AND C178 AND C180 AND C183	Text attribute – large font size	
27.22.4.13.4/4a	UMTS System Simulator or System Simulator only	Rel-5	C157AND C156 AND C177 AND C178 AND C180 AND C183	Text attribute – large font size		Extra
27.22.4.13.4/4b	UMTS System Simulator or System Simulator only	Rel-5	C157AND C156 AND C177 AND C178 AND C180 AND C183	Text attribute – large font size		Extra
27.22.4.13.4/5	UMTS System Simulator or System Simulator only	Rel-5	C158AND C156 AND C177 AND C178 AND C180 AND C183	Text attribute – small font size	
27.22.4.13.4/5a	UMTS System Simulator or System Simulator only	Rel-5	C158AND C156 AND C177 AND C178 AND C180 AND C183	Text attribute – small font size		Extra
27.22.4.13.4/5b	UMTS System Simulator or System Simulator only	Rel-5	C158AND C156 AND C177 AND C178 AND C180 AND C183	Text attribute – small font size		Extra
27.22.4.13.4/6	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – bold on	
27.22.4.13.4/6a	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – bold on		Extra
27.22.4.13.4/6b	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – bold on		Extra
27.22.4.13.4/7	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – italic on	
27.22.4.13.4/7a	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – italic on		Extra
27.22.4.13.4/7b	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – italic on		Extra
27.22.4.13.4/8	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – underline on	
27.22.4.13.4/8a	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – underline on		Extra
27.22.4.13.4/8b	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – underline on		Extra
27.22.4.13.4/9	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – strikethrough on	
27.22.4.13.4/9a	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – strikethrough on		Extra
27.22.4.13.4/9b	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C177 AND C178 AND C180 AND C183	Text attribute – strikethrough on		Extra
27.22.4.13.4/10	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C177 AND C178 AND C180 AND C183	Text attribute – foreground and background colours	
27.22.4.13.4/10a	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C177 AND C178 AND C180 AND C183	Text attribute – foreground and background colours		Extra
27.22.4.13.4/10b	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C177 AND C178 AND C180 AND C183	Text attribute – foreground and background colours		Extra
27.22.4.13.5/1	UMTS System Simulator or System Simulator only	R99	C118 AND C177 AND C178 AND C180 AND C183	UCS2 Display in Cyrillic	
27.22.4.13.5/1a	UMTS System Simulator or System Simulator only	R99	C118 AND C177 AND C178 AND C180 AND C183	UCS2 Display in Cyrillic		Extra
27.22.4.13.5/1b	UMTS System Simulator or System Simulator only	R99	C118 AND C177 AND C178 AND C180 AND C183	UCS2 Display in Cyrillic		Extra
27.22.4.13.5/2/	UMTS System Simulator or System Simulator only	R99	C118 AND C177 AND C178 AND C180 AND C183	UCS2 Display in Cyrillic	
27.22.4.13.5/2/a	UMTS System Simulator or System Simulator only	R99	C118 AND C177 AND C178 AND C180 AND C183	UCS2 Display in Cyrillic		Extra
27.22.4.13.5/2/b	UMTS System Simulator or System Simulator only	R99	C118 AND C177 AND C178 AND C180 AND C183	UCS2 Display in Cyrillic		Extra
27.22.4.13.6/1	UMTS System Simulator or System Simulator only	R99	C143 AND C177 AND C178 AND C180 AND C183	UCS2 display in Chinese	
27.22.4.13.6/1a	UMTS System Simulator or System Simulator only	R99	C143 AND C177 AND C178 AND C180 AND C183	UCS2 display in Chinese		Extra
27.22.4.13.6/1b	UMTS System Simulator or System Simulator only	R99	C143 AND C177 AND C178 AND C180 AND C183	UCS2 display in Chinese		Extra
27.22.4.13.6/2	UMTS System Simulator or System Simulator only	R99	C143 AND C177 AND C178 AND C180 AND C183	UCS2 display in Chinese	
27.22.4.13.6/2a	UMTS System Simulator or System Simulator only	R99	C143 AND C177 AND C178 AND C180 AND C183	UCS2 display in Chinese		Extra
27.22.4.13.6/2b	UMTS System Simulator or System Simulator only	R99	C143 AND C177 AND C178 AND C180 AND C183	UCS2 display in Chinese		Extra
27.22.4.13.7/1	UMTS System Simulator or System Simulator only	R99	C145 AND C177 AND C178 AND C180 AND C183	UCS2 display in Katakana	
27.22.4.13.7/1a	UMTS System Simulator or System Simulator only	R99	C145 AND C177 AND C178 AND C180 AND C183	UCS2 display in Katakana		Extra
27.22.4.13.7/1b	UMTS System Simulator or System Simulator only	R99	C145 AND C177 AND C178 AND C180 AND C183	UCS2 display in Katakana		Extra
27.22.4.13.7/2	UMTS System Simulator or System Simulator only	R99	C145 AND C177 AND C178 AND C180 AND C183	UCS2 display in Katakana	
27.22.4.13.7/2a	UMTS System Simulator or System Simulator only	R99	C145 AND C177 AND C178 AND C180 AND C183	UCS2 display in Katakana		Extra
27.22.4.13.7/2b	UMTS System Simulator or System Simulator only	R99	C145 AND C177 AND C178 AND C180 AND C183	UCS2 display in Katakana		Extra
27.22.4.13.TBD	TBD	Rel-6		Frames	
27.22.4.13.TBDa	TBD	Rel-6		Frames		Extra
27.22.4.13.TBDb	TBD	Rel-6		Frames		Extra
27.22.4.14				POLLING OFF 27.22.4.14	
27.22.4.14.1/1	UMTS System Simulator or System Simulator only	R99	C183	POLLING OFF	
27.22.4.14.1/2	E-USSor NB-SS (See NOTE)  	Rel-8	C222	POLLING OFF, E-UTRAN	
27.22.4.15				PROVIDE LOCAL INFORMATION 27.22.4.15	
27.22.4.15.1/1	Yes	R99	M	location information	
27.22.4.15.1/2	No	R99	M	IMEI	
27.22.4.15.1/3	System Simulator only	R99	C167	network measurement results and BCCH channel list	
27.22.4.15.1/4	No	R99	M	Date, time and time zone	
27.22.4.15.1/5	No	R99	C217	language setting	
27.22.4.15.1/6	System Simulator only	R99	C167	Timing advance	
27.22.4.15.1/7	UMTS System Simulator only	Rel-4	C184	Access Technology	
27.22.4.15				Void	
27.22.4.15.1/9	No	Rel-6	M	IMEISV	
27.22.4.15.1/10	E-USS, UMTS System Simulator or System Simulator	Rel-6	M	Network Search Mode	
27.22.4.15.1/11	No	Rel-6	C139	Charge State of the Battery	
27.22.4.15.1/12	UMTS System Simulator only	Rel-6	C184	Intra-frequency UTRAN measurements	
27.22.4.15.1/13	UMTS System Simulator only	Rel-6	C184	Inter-frequency UTRAN measurements	
27.22.4.15.1/14	E-USS or NB-SS (See NOTE) 	Rel-8	C222	Access Technology, E-UTRAN	
27.22.4.15.1/15	E-USS only	Rel-8	C190	E-UTRAN Intra-Frequency Measurements	
27.22.4.15.1/16	E-USS only	Rel-8	C190	E-UTRAN Intrer-Frequency Measurements	
27.22.4.15.1/17	E-USS or NB-SS (See NOTE)	Rel-8	C190	E-UTRAN Local Info (MCC, MNC, TAC & E-UTRAN Cell ID)	
27.22.4.15.1/18	E-USS only	Rel-9	C195	Discovery of surrounding CSG cells	
27.22.4.15.1/19	TBD	Rel-8	TBD	Location Information for multiple Access Technologies 	
27.22.4.15.1/20	TBD	Rel-8	TBD	NMR for multiple Access Technologies 	
27.22.4.15.1/21	TBD	Rel-8	TBD	Current access technologies, multiple Access Technologies 	
27.22.4.16				SET UP EVENT LIST 27.22.4.16	
27.22.4.16.1/1	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Set up call connected event	
27.22.4.16.1/2	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Replace by new event list	
27.22.4.16.1/3	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Remove event	
27.22.4.16.1/4	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Remove Event on ME Power Cycle	
27.22.4.17				PERFORM CARD APDU 27.22.4.17	
27.22.4.17.1/1	No	R99	C109	Additional card inserted, Select MF and Get Response	
27.22.4.17.1/2	No	R99	C109	Additional card inserted, Select DF GSM, Select EF PLMN , Update Binary, Read Binary on EF PLMN	
27.22.4.17.1/3	No	R99	C109	Additional card inserted, card powered off	
27.22.4.17.1/4	No	R99	C109	No card inserted, card powered off	
27.22.4.17.1/5	No	R99	C109	Invalid card reader identifier	
27.22.4.17.2/1	No	R99	C116	Detachable reader	
27.22.4.18				POWER OFF CARD 27.22.4.18	
27.22.4.18.1/1	No	R99	C109	Additional card inserted	
27.22.4.18.1/2	No	R99	C109	No card inserted	
27.22.4.18.2/1	No	R99	C116	Detachable reader	
27.22.4.19				POWER ON CARD 27.22.4.19	
27.22.4.19.1/1	No	R99	C109	Additional card inserted	
27.22.4.19.1/2	No	R99	C109	No ATR	
27.22.4.19.1/3	No	R99	C109	No card inserted	
27.22.4.19.2/1	No	R99	C116	Detachable reader	
27.22.4.20				GET READER STATUS 27.22.4.20	
27.22.4.20.1/1	No	R99	C109	Additional card inserted, card powered	
27.22.4.20.1/2	No	R99	C109	Additional card inserted, card not powered	
27.22.4.20.1/3	No	R99	C109	Additional card inserted, card not present	
27.22.4.20.2/1	No	R99	C116	Detachable reader	
27.22.4.21.1				TIMER MANAGEMENT 27.22.4.21.1	
27.22.4.21				TIMER MANAGEMENT 27.22.4.21.1		Extra
27.22.4.21.1.1/1	No	R99	M	Start timer 1 several times, get the current value of the timer and deactivate the timer successfully	
27.22.4.21.1/1	No	R99	M	Start timer 1 several times, get the current value of the timer and deactivate the timer successfully		Extra
27.22.4.21.1.1/2	No	R99	M	Start timer 2 several times, get the current value of the timer and deactivate the timer successfully	
27.22.4.21.1/2	No	R99	M	Start timer 2 several times, get the current value of the timer and deactivate the timer successfully		Extra
27.22.4.21.1.1/3	No	R99	M	Start timer 8 several times, get the current value of the timer and deactivate the timer successfully	
27.22.4.21.1/3	No	R99	M	Start timer 8 several times, get the current value of the timer and deactivate the timer successfully		Extra
27.22.4.21.1.1/4	No	R99	M	Try to get the current value of a timer which is not started: action in contradiction with the current timer state	
27.22.4.21.1/4	No	R99	M	Try to get the current value of a timer which is not started: action in contradiction with the current timer state		Extra
27.22.4.21.1.1/5	No	R99	M	Try to deactivate a timer which is not started: action in contradiction with the current timer state	
27.22.4.21.1/5	No	R99	M	Try to deactivate a timer which is not started: action in contradiction with the current timer state		Extra
27.22.4.21.1.1/6	No	R99	M	Start 8 timers successfully	
27.22.4.21.1/6	No	R99	M	Start 8 timers successfully		Extra
27.22.4.21.2				ENVELOPE TIMER EXPIRATION 27.22.4.21.2	
27.22.4.21				ENVELOPE TIMER EXPIRATION 27.22.4.21.2		Extra
27.22.4.21.2.2/1	No	R99	M	Pending proactive UICC command	
27.22.4.21.2/1	No	R99	M	Pending proactive UICC command		Extra
27.22.4.21.2.2/2	No	R99	M	USIM application toolkit busy	
27.22.4.21.2/2	No	R99	M	USIM application toolkit busy		Extra
27.22.4.22				SET UP IDLE MODE TEXT 27.22.4.22	
27.22.4.22.1/1	Yes	R99	C177	Display idle mode text	
27.22.4.22.1/2	Yes	R99	C177	Replace idle mode text	
27.22.4.22.1/3	Yes	R99	C177	Remove idle mode test	
27.22.4.22.1/4	UMTS System Simulator or System Simulator only	R99	C177 AND C179 AND C180 AND C183	Competing information on ME display	
27.22.4.22.1/5	Yes	R99	C177	ME powered cycled	
27.22.4.22.1/6	Yes	R99	C177	Refresh with USIM initialization	
27.22.4.22.1/7	Yes	R99	C177	Large text string	
27.22.4.22.2/1	Yes	R99	C108 AND C177	Icons – basic icon	
27.22.4.22.2/2	Yes	R99	C108 AND C177	Icons – basic icon	
27.22.4.22.2/3	Yes	R99	C171 AND C177	Icons – colour icon	
27.22.4.22.2/4	Yes	R99	C188 AND C177	Icon is not self-explanatory, empty text string	
27.22.4.22.3/1	Yes	R99	C118 AND C177	UCS2 display in Cyrillic	
27.22.4.22.4/1	Yes	Rel-5	C153 AND C177	Text attribute – left alignment	
27.22.4.22.4/2	Yes	Rel-5	C154 AND C177	Text attribute – center alignment	
27.22.4.22.4/3	Yes	Rel-5	C155 AND C177	Text attribute – right alignment	
27.22.4.22.4/4	Yes	Rel-5	C157 AND C156 AND C177	Text attribute – large font size	
27.22.4.22.4/5	Yes	Rel-5	C158 AND C156 AND C177	Text attribute – small font size	
27.22.4.22.4/6	Yes	Rel-5	C160 AND C159 AND C177	Text attribute – bold on	
27.22.4.22.4/7	Yes	Rel-5	C161 AND C159 AND C177	Text attribute – italic on	
27.22.4.22.4/8	Yes	Rel-5	C162 AND C159 AND C177	Text attribute – underline on	
27.22.4.22.4/9	Yes	Rel-5	C163 AND C159 AND C177	Text attribute – strikethrough on	
27.22.4.22.4/10	Yes	Rel-5	C164 AND C165 AND C177	Text attribute – foreground and background colours	
27.22.4.22.5/1	Yes	R99	C143 AND C177	UCS2 display in Chinese	
27.22.4.22.6/1	Yes	R99	C145 AND C177	UCS2 display in Katakana	
27.22.4.22.TBD	TBD	Rel-6		Frames	
27.22.4.23				RUN AT COMMAND 27.22.4.23	
27.22.4.23.1/1	No	R99	C110	No alpha Identifier	
27.22.4.23.1/2	No	R99	C110	null data alpha identifier presented	
27.22.4.23.1/3	No	R99	C110 AND C177	alpha identifier presented	
27.22.4.23.2/1	No	R99	C114 AND C177	Icons – basic icon	
