.Test sequence (s)	Network Dependency	Re-lease	Rel-13 ME	Description	
27.22.4.3.1/8	No	R99	C177 AND C178	Prompt text up to 160 bytes	
27.22.4.3.1/9	No	R99	C177 AND C178	SMS default alphabet, ME to echo text, packing not required	
27.22.4.3.1/10	No	R99	C177 AND C178	Null length for the text string	
27.22.4.3.2/1	No	R99	C120 AND C177 AND C178	no response from user	
27.22.4.3.3/1	No	R99	C118 AND C177 AND C178	UCS2 display in Cyrillic	
27.22.4.3.3/2	No	R99	C118 AND C177 AND C178	UCS2 display in Cyrillic	
27.22.4.3.4/1	No	R99	C105 AND C177 AND C178	UCS2 entry in Cyrillic	
27.22.4.3.4/2	No	R99	C105 AND C177 AND C178	UCS2 entry in Cyrillic	
27.22.4.3.5/1	No	R99	C177 AND C178	default text for the input	
27.22.4.3.5/2	No	R99	C177 AND C178	default text for the input	
27.22.4.3.6/1	No	R99	C108 AND C177 AND C178	Icons – basic icon	
27.22.4.3.6/2	No	R99	C108 AND C177 AND C178	Icons – basic icon	
27.22.4.3.6/3	No	R99	C171 AND C177 AND C178	Icons – colour icon	
27.22.4.3.6/4	No	R99	C171 AND C177 AND C178	Icons – colour icon	
27.22.4.3.7/1	No	R99	C107 AND C177 AND C178	help information	
27.22.4.3.8/1	No	Rel-5	C153 AND C177 AND C178	Text attribute– left alignment	
27.22.4.3.8/2	No	Rel-5	C154 AND C177 AND C178	Text attribute – center alignment	
27.22.4.3.8/3	No	Rel-5	C155 AND C177 AND C178	Text attribute – right alignment	
27.22.4.3.8/4	No	Rel-5	C157 AND C156 AND C177 AND C178	Text attribute – large font size	
27.22.4.3.8/5	No	Rel-5	C158 AND C156 AND C177 AND C178	Text attribute – small font size	
27.22.4.3.8/6	No	Rel-5	C160 AND C159 AND C177 AND C178	Text attribute – bold on	
27.22.4.3.8/7	No	Rel-5	C161 AND C159 AND C177 AND C178	Text attribute – italic on	
27.22.4.3.8/8	No	Rel-5	C162 AND C159 AND C177 AND C178	Text attribute – underlined on	
27.22.4.3.8/9	No	Rel-5	C163 AND C159 AND C177 AND C178	Text attribute – strikethrough on	
27.22.4.3.8/10	N o	Rel-5	C164 AND C165 AND C177 AND C178	Text attribute – foreground and background colours	
27.22.4.3.9/1	No	R99	C143 AND C177 AND C178	UCS2 display in Chinese	
27.22.4.3.9/2	No	R99	C143 AND C177 AND C178	UCS2 display in Chinese	
27.22.4.3.10/1	No	R99	C142 AND C177 AND C178	UCS2 entry in Chinese	
27.22.4.3.10/2	No	R99	C142 AND C177 AND C178	UCS2 entry in Chinese	
