41.5.4.4	
26.21.4-5	
70.14.2-10	
43.1.2.1	
52.3.2.1.2	
44.2.2.1.9	X1
29.3.3.5	
41.6.3.2	
44.2.2.1.6	
44.2.2.1.3	X1
42.1.2.1.8.2.2	
41.5.3.2.2	
26.17.9.2	
14.2.22	
26.8.1.4.4.1	
42.3.3.2.1	
26.17.9.6	
41.7.2.3	
26.7.4.5.2	E1
33.5	
26.17.9.8	
26.10.3.2	L5
42.10.2.1	
26.5.7.1.2	E1
26.5.7.1.4	
30.19	R1
30.16	R1
26.21.4-2	
41.1.1.3	
30.12	R1
41.1.1.1	
13.17.2	
58b.3.1a	
26.19.9.1	
26.7.4.5.4.5	E1
52.6.1	
26.7.4.5.4.1	E1
26.7.4.5.4.3	E1
27.12.1a	
31.6.3.8	
47.3.2.1	
29.2.2	
14.11.2.2	
14.11.2.3	
82.1.2.1	
14.11.2.1	
70.9.4.3	
41.3.6.9	
70.9.4.1	
42.8.1	
26.6.5.6	
26.8.1.3.1.1	
42.8.5	
29.2.7	
47.3.1.3.2-1	
31.15.2	
26.6.5.8	
31.8.1.1	
26.6.3.3	
26.6.3.1	
42.1.2.2.2	
26.6.3.7	
26.5.5.3.1.2	
26.6.3.5	
31.4.5	
26.6.3.9	
41.2.3.9	R6
31.8.3.1	
31.4.3.3	
31.3.1.6.2	
82.4.2.1	
42.4.1.4	
26.17.2	
26.6.1.3	E1
26.6.1.5	E1
26.17.6	
26.6.1.7	
70.14.5-10	
26.9.6a.1.7	
26.9.6a.1.5	
14.9	
26.9.6a.1.3	
26.9.6a.1.1	
22.2	
70.14.1-10	
14.12.1.2	
22.4	R6
14.12.1.1	
84.2.2.4	
26.19.5-32	
22.8	
41.3.1.2	
46.2.2.1.1	
58a.1.7	
41.2.6.4	R6
26.5.6.2.3	
27.14.5	
26.5.6.2.1	
58a.1.1	
26.11.2.3	
58a.1.9	
20.22.31.2	
26.7.2.5	R1
53.1.1.13	
26.7.2.2	E1
42.3.1.1.8	
42.3.1.1.6	
42.3.1.1.4	
20.10	
27.14.3	
70.2.1	
20.2	
26.8.1.3.5.2	
20.4	
26.8.1.3.5.4	
20.6	
26.8.1.3.5.6	
20.8	
26.8.1.3.5.8	
44.2.5.1.2	X1
70.2.3	
26.6.5.3-1	
26.8.1.3.3.7	
26.8.1.3.3.5	
70.14.10	
26.8.1.3.3.3	
26.8.1.3.3.1	R1
26.5.3.1	
14.4.6a	
29.2.3.8	
26.8.1.2.4.5	
70.3.4.5	
26.8.1.2.4.7	R1
26.8.1.2.4.1	
51.2.3.17	
26.8.1.2.4.3	R1
70.3.4.3	
83.1.6.1	
44.2.1.1.5-2	L1, X1
26.8.1.2.4.9	
70.11.5.2	
31.2.2	
42.1.2.1.5	
45.2.5.1.1	X1
26.6.12.1	E1
70.8.4.5	
26.6.12.3	
70.8.4.3	
52.1.2.1.8.1.8	
27.6a	
52.1.1.7	
52.1.1.4	
52.1.1.2	
14.5.1.3a	
51.1.2	
26.7.4.1	R1, E1
45.2.5.3.1	X1
26.7.4.4	E1
26.7.4.6	E1
51.3.3	
81.1.3.1	
26.8.1.2.2.3	
84.11.4.1	
26.8.1.2.2.1	R1
58a.2.2	
44.2.1.1.6-1	R1, X1
42.4.8.2.4	
58c.2.10a	
58a.2.5	
20.22.19	
42.2.2.10.1	
14.2.20	
42.5.4.1	
14.2.27	
14.2.24	
14.2.25	
20.22.11	
20.22.33.1	
20.22.13	
42.2.2.10.3	
20.22.15	
47.2.2	
20.22.17	
22.10	
58a.2.9	
22.12	
81.3.2.5	
22.14	
81.3.2.3	
81.3.2.1	
20.12	
26.6.5.4-2	
44.2.1.1.4-1	R1, L1, X1
20.16	
52.10.1	
20.14	
31.1.3.2.1	
26.16.9.12	
26.16.9.10	
26.19.5-5	
52.9.2.1.4	
26.19.5-8	
31.4.2.1.4	
26.8.1.2.5.4	
26.8.1.2.6.6	R1
26.8.1.2.6.4	
53.1.2.10	
26.8.1.2.6.2	R1
51.2.6.1	
47.4.1-1	
31.1.5.1.2	
51.1.5.1.1	
26.6.8.6	E1
26.5.4.1	E1
51.2.6.3	
42.1.2.1.7	
58b.1.5	
58b.1.4	
42.2.2.1.2-2	
29.2.6.1	
58b.1.3	
31.3.1.2.1	
81.2.1.8	
29.3.2.4.2.	
26.5.6.3	E1
14.2.2a	
44.2.1.2.3a	
31.12.3	
20.22.29b	
41.8.1.7	
81.2.1.2	
26.8.1.2.8.2	
28.4	
26.8.1.2.8.4	
81.2.1.6	
14.4.21	
41.1.6	
53.1.2.4	
53.1.2.6	
41.1.2	
31.4.2.1.1.2	
53.1.2.2	
53.1.2.8	
52.3.1.1.4	
31.4.4.1.1.1	
42.1.2.1.19	
25.2.1.1.2.2	E1
18.1	
20.18	
34.4.7	
52.3.1.1.6	
41.2.2.3	
20.21.3	
41.2.2.1	
20.21.1	
20.21.7	
41.2.2.5	
20.21.5	
27.22	
31.6.1.5	
27.11.1.5	
20.21.9	
27.11.1.3	
26.7.4.2.2-2	R1, E1
84.2.1.2	
33.3-2	E1
41.1.5.1.1	
26.7.3.1-2	R1, E1
32.10.4	
31.2.1.1.2	
32.10.6	
81.2.2.1	
31.6.3.6	
26.14.5.1	
44.2.9.1.3	X1
26.14.3.6.1	
81.2.5.2	
43.1.2.3	
26.15.2.1	
82.8.2.2	
20.21.15	
20.21.17	
70.9.3.1	
20.21.11	
20.21.13	
26.8.1.3.4.8	
26.14.9.2	
70.10.2.1	
20.21.19	
20.25.7	
20.25.5	
20.25.2	
44.2.3.2.7	
52.1.2.1.3.3	
26.19.5-14	
58b.1.1	
42.1.2.2.4	
14.16.5.1	
26.8.1.3.4.4	
52.1.2.1.3.1	
14.16.2.1a	
60.3a	
42.2.2.5.3	
29.4.3.4	
33.7	
53.1.1.23	
58b.1.2	
53.1.1.25	
26.8.1.3.4.6	
32.5.4	
32.5.6	
46.1.2.7.5-4	
52.6.4	
27.17.2.1.1-1	
27.17.2.1.2-2	
27.17.2.1.1-4	
20.23.1	
47.1.2-1	
20.23.3	
21.4.1	R11
20.23.5	
21.4.3	
20.23.7	
20.23.9	
26.9.6.2.1	
46.2.2.4.3	
46.1.2.1.1-3	
70.3.2	
46.1.2.1.1-1	
84.9.1.2	
26.14.3.2	
42.2.2.7.5	
27.17.1.5.3	
42.2.2.7.3	
27.17.1.5.5	
42.2.2.7.1	
26.14.3.4	
25.2.2.1	E1
14.2.1a	
41.3.3	
27.17.2.3-4	
42.1.1.4.1	
42.1.1.4.3	
31.1.2.3.2	
27.11.3	
26.14.1.2	
52.8.1.9	
42.4.8.1.4	
42.4.8.1.6	
70.13.2-3	
52.8.1.3	
42.4.8.1.2	
31.4.4.2	
27.10a-2	
41.8.1.5	
27.10a-4	
26.17.9.4	
14.4.17	L4
14.4.16	R7
14.4.19	
42.4.8.3.6	
41.7.2.1	
42.4.8.3.3	
52.1.2.1.1.2	
26.14.7.1	
41.8.1.3	
70.7.2.1	
70.14.4-10	
42.2.2.6.4	
70.16.5.1-3	
44.2.1.2.2-1	
41.8.1.1	
81.1.3.5	
26.8.3	
70.14.3-10	
58b.2.14	
45.2.1.2.1	
58b.2.10	
70.16.8-3	
53.1.1.19	
43.1.1.1	
42.4.8.5.1-1	
44.2.5.2.5	
20.22.21	
20.22.23	
70.8.3	
20.22.25	
20.22.28	
26.6.5.5.1	
42.9.2.1.4	
42.9.2.1.2	
34.4.5	
82.7.2.2	
26.13.1.3.5	
51.2.3.1	
26.13.1.3.1	
26.5.5.2.1	
26.13.1.3.3	
26.5.5.2.3	E1
34.4.3	
70.16.6-1	
70.16.5.2-3	
45.2.4.3	X1
70.16.5.2-1	
46.1.2.7.1	
26.13.1.1.2	
41.3.2.3-1	
52.3.2.2.2	
14.2.10a	
51.5.1.1.1.1-1	
83.1.2.2	
42.2.3.2.1	
42.3.1.1.10	
46.1.2.2.3.2	
34.3	
46.1.2.2.3.4	
45.2.4.2-1	X1
14.5.1.2a	
27.5a	
44.2.1.2.6	
14.1.4	
46.1.2.2.1.5	
58c.3.3a	
42.1.2.1.13	
30.14	R1
26.17.9.10	
26.7.4.2.4-4	E1
31.4.4.3.2	
26.7.4.2.4-2	E1
